stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
DPI,DPI,DODDAMPATTI,DODDAMPATTI,,12.1815,78.4224,,,0,,Asia/Kolkata,0,,,
DPJ,DPJ,DHARMAPURI,DHARMAPURI,,12.1261,78.1542,,,0,,Asia/Kolkata,0,,,
DPK,DPK,DHOLIPAL,DHOLIPAL,,29.751412,74.255219,,,0,,Asia/Kolkata,0,,,
DPL,DPL,DANAULI PHLWRIA,DANAULI PHLWRIA,,25.4209,86.2498,,,0,,Asia/Kolkata,0,,,
DPLN,DPLN,DIPLANA,DIPLANA,,29.1849,74.8326,,,0,,Asia/Kolkata,0,,,
DPNR,DPNR,DEEPNAGAR HALT,DEEPNAGAR HALT,,25.140467,85.483074,,,0,,Asia/Kolkata,0,,,
DPP,DPP,DHIRPUR,DHIRPUR,,30.0791,76.8467,,,0,,Asia/Kolkata,0,,,
DPR,DPR,DHAMPUR,DHAMPUR,,29.3059,78.502,,,0,,Asia/Kolkata,0,,,
DPRA,DPRA,DHUPDHARA,DHUPDHARA,,25.979959,91.066189,,,0,,Asia/Kolkata,0,,,
DPS,DPS,DANGOAPOSI,DANGOAPOSI,,22.167614,85.59238,,,0,,Asia/Kolkata,0,,,
DPSR,DPSR,DAPSAURA,DAPSAURA,,25.9836,80.2031,,,0,,Asia/Kolkata,0,,,
DPT,DPT,DALPAT SINGHPUR,DALPAT SINGHPUR,,29.929498,73.524456,,,0,,Asia/Kolkata,0,,,
DPU,DPU,DIPHU,DIPHU,,25.8369,93.438034,,,0,,Asia/Kolkata,0,,,
DPUR,DPUR,DEPUR PH,DEPUR PH,,19.9729,83.2505,,,0,,Asia/Kolkata,0,,,
DPW,DPW,DHAPEWARA,DHAPEWARA,,21.8727,80.1911,,,0,,Asia/Kolkata,0,,,
DPX,DPX,DADPUR,DADPUR,,24.8294,86.3491,,,0,,Asia/Kolkata,0,,,
DPZ,DPZ,DEVPURA,DEVPURA,,26.0322,76.2512,,,0,,Asia/Kolkata,0,,,
DQG,DQG,DHUPGURI,DHUPGURI,,26.5734,88.9949,,,0,,Asia/Kolkata,0,,,
